"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05310","Asthma","10/168","32/9393",0.3125,17.4720982142857,12.5954383060374,1.17719498818408e-10,2.88412772105099e-08,2.49069676447368e-08,"2205/3120/3108/2206/3115/3123/3119/3113/3122/3127",10
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","12/168","99/9393",0.121212121212121,6.77705627705628,7.7978227089365,1.73713812026391e-07,1.64892761948944e-05,1.42399334701344e-05,"3120/3108/721/3115/3123/720/110384692/3383/3119/3113/3122/3127",12
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","9/168","50/9393",0.18,10.0639285714286,8.67179090435922,2.01909504427279e-07,1.64892761948944e-05,1.42399334701344e-05,"5284/3120/3108/3115/3123/3119/3113/3122/3127",9
"Human Diseases","Immune disease","hsa05330","Allograft rejection","8/168","39/9393",0.205128205128205,11.4688644688645,8.8406397461763,3.40114991544886e-07,2.08320432321243e-05,1.79902929738216e-05,"3120/3108/3115/3123/3119/3113/3122/3127",8
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","8/168","44/9393",0.181818181818182,10.1655844155844,8.22345680186571,9.07997129806338e-07,4.44123743441334e-05,3.83539731178123e-05,"3120/3108/3115/3123/3119/3113/3122/3127",8
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","8/168","45/9393",0.177777777777778,9.93968253968254,8.11184226321064,1.08764998393796e-06,4.44123743441334e-05,3.83539731178123e-05,"3120/3108/3115/3123/3119/3113/3122/3127",8
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","11/168","100/9393",0.11,6.15017857142857,6.98706549689621,1.54527784813088e-06,5.40847246845806e-05,4.67068943570385e-05,"913/911/3120/3108/909/3115/3123/3119/3113/3122/3127",11
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","9/168","66/9393",0.136363636363636,7.62418831168831,7.28759358398062,2.33468892135354e-06,7.14998482164523e-05,6.17463780515872e-05,"7097/3120/3108/3115/3123/3119/3113/3122/3127",9
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","9/168","70/9393",0.128571428571429,7.18852040816326,7.01307528040977,3.85849703537128e-06,0.000105036863740663,9.07085267964478e-05,"3120/3108/3115/3123/3383/3119/3113/3122/3127",9
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","8/168","54/9393",0.148148148148148,8.28306878306878,7.24288515820799,4.57871293255134e-06,0.000112178466847508,9.6875926257139e-05,"3120/3108/3115/3123/3119/3113/3122/3127",8
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","13/168","160/9393",0.08125,4.54274553571429,6.09928642369882,5.41031276511006e-06,0.000120502420677451,0.000104064389070538,"3680/8516/3120/3108/3115/3123/3383/3119/3113/3122/3127/51208/9075",13
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","10/168","95/9393",0.105263157894737,5.88533834586466,6.45821017205507,6.9922049795862e-06,0.000142757518333218,0.000123283614113757,"7097/3120/3108/3115/3123/3383/3119/3113/3122/3127",10
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","12/168","143/9393",0.0839160839160839,4.69180819180819,6.00325480152948,9.04181121908942e-06,0.000167543201453908,0.000144688221234095,"3120/3108/730/721/3115/3123/720/110384692/3119/3113/3122/3127",12
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","9/168","78/9393",0.115384615384615,6.45123626373626,6.52381102648897,9.57389722593762e-06,0.000167543201453908,0.000144688221234095,"7097/3120/3108/3115/3123/3119/3113/3122/3127",9
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","13/168","173/9393",0.0751445086705202,4.20138315441784,5.73516268617917,1.26956233487918e-05,0.000202565282357324,0.000174932853936937,"7113/3120/3108/3115/3123/3383/3119/7177/3113/64499/3122/3127/90865",13
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","7/168","45/9393",0.155555555555556,8.69722222222222,6.98443733928874,1.32287531335395e-05,0.000202565282357324,0.000174932853936937,"368/10351/21/8714/1080/154664/24",7
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","9/168","82/9393",0.109756097560976,6.13654181184669,6.30420149922021,1.4472425092605e-05,0.00020857318515813,0.000180121203938923,"3120/3108/3115/3123/3119/972/3113/3122/3127",9
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","10/168","112/9393",0.0892857142857143,4.99202806122449,5.73529426947655,3.01632092859624e-05,0.000410554793058932,0.000354550003887628,"7097/5602/3120/3108/3115/3123/3119/3113/3122/3127",10
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","9/168","93/9393",0.0967741935483871,5.41071428571429,5.76845383946388,4.01544021338036e-05,0.000517780448567467,0.000447148743983076,"5602/3120/3108/3115/3123/3119/3113/3122/3127",9
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","15/168","259/9393",0.0579150579150579,3.2380722559294,4.9288315683105,5.98945852057718e-05,0.000733708668770705,0.00063362166454527,"7097/3120/3108/6441/338382/3115/3123/3119/653509/249/729238/3113/3122/3127/1080",15
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","9/168","109/9393",0.0825688073394495,4.61648099606815,5.12486424660577,0.000139446286056081,0.00162687333732094,0.00140494754372292,"5602/3120/3108/3115/3123/3119/3113/3122/3127",9
"Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","4/168","17/9393",0.235294117647059,13.1554621848739,6.76920448225287,0.00019590676769088,0.00218168900383025,0.0018840794404721,"2330/570/2327/124975",4
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","12/168","205/9393",0.0585365853658537,3.27282229965157,4.43999431921992,0.000302848645443786,0.00322599644059685,0.00278593033108471,"7097/5602/3120/3108/956/3115/3123/3383/3119/3113/3122/3127",12
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","11/168","180/9393",0.0611111111111111,3.41676587301587,4.4179499550922,0.000375293023983851,0.00383111628650182,0.00330850429038395,"340061/7097/3120/3108/3115/3123/3119/972/3113/3122/3127",11
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","11/168","181/9393",0.0607734806629834,3.39788871349645,4.39583964731169,0.000393485494442215,0.00385615784553371,0.00333012986875306,"7097/5602/3120/3108/3115/3123/3119/972/3113/3122/3127",11
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","7/168","78/9393",0.0897435897435897,5.01762820512821,4.80812900356368,0.000469708502250924,0.00442609934813371,0.00382232424908647,"5602/721/720/110384692/653509/729238/722",7
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","8/168","103/9393",0.0776699029126214,4.34257975034674,4.60302176697898,0.00049820623160582,0.00452076024975652,0.00390407222427953,"81578/1285/2006/8645/1286/1359/1803/1308",8
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","7/168","89/9393",0.0786516853932584,4.39747191011236,4.34576784901649,0.00103964125964069,0.00878317615903345,0.00758504149501922,"3680/1285/8516/1286/7148/255743/341640",7
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","7/168","89/9393",0.0786516853932584,4.39747191011236,4.34576784901649,0.00103964125964069,0.00878317615903345,0.00758504149501922,"730/721/720/110384692/722/3053/1191",7
"Organismal Systems","Digestive system","hsa04976","Bile secretion","7/168","90/9393",0.0777777777777778,4.34861111111111,4.30749670180529,0.00111065139466415,0.00907031972309053,0.0078330150992103,"6344/361/358/570/8671/8714/1080",7
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","9/168","154/9393",0.0584415584415584,3.26750927643785,3.82866567473387,0.00174625082599691,0.0138010145925562,0.0119183842453439,"3680/1285/8516/1286/7148/3383/2277/255743/341640",9
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","11/168","224/9393",0.0491071428571429,2.74561543367347,3.56830600835377,0.00225451838253689,0.0172611563662981,0.0149065195687472,"5602/3120/3108/3115/3123/3383/3119/3113/3122/3127/4316",11
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","7/168","103/9393",0.0679611650485437,3.7997572815534,3.85550822172944,0.00242749769116119,0.0180223313434694,0.0155638607950047,"913/911/7097/1285/1286/338382/909",7
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","11/168","233/9393",0.0472103004291846,2.63956161863887,3.41986106036681,0.00305969698496516,0.0220478165093077,0.0190402196278017,"3680/1285/2006/8516/23345/1286/825/7134/4629/343263/23500",11
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","9/168","170/9393",0.0529411764705882,2.95997899159664,3.48008833748965,0.00341338098458586,0.023893666892101,0.0206342730196017,"913/911/154796/5602/909/4629/51208/1080/9075",9
